ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Stabling_Type,Memorized_Localisation,Update_Priority_Level,Automatic_Awakening,Energy_Monitoring_Inhibition_Area_ID,ATO_Margin_Inhibition_Area_ID,SSP_ID_List,Default_Stop,Coupling_Memorized_Localisation
2114,STL_LCM_152C,TR_S_375_LCM,559147,0,562347,0,Siding,true,None,false,0,0,SSP_LCM_152C_U;SSP_LCM_152C_D,true,false
2115,STL_LCM_152D,TR_S_375_LCM,562347,0,566347,0,Siding,true,None,false,0,0,SSP_LCM_152D_U;SSP_LCM_152D_D,true,false
2116,STL_LCM_162A,TR_S_347_LCM,539997,0,543247,0,Siding,true,None,false,0,0,SSP_LCM_162A_U;SSP_LCM_162A_D,true,false
2117,STL_LCM_162B,TR_S_347_LCM,543247,0,546447,0,Siding,true,None,false,0,0,SSP_LCM_162B_U;SSP_LCM_162B_D,true,false
2118,STL_LCM_162C,TR_S_347_LCM,546447,0,549647,0,Siding,true,None,false,0,0,SSP_LCM_162C_U;SSP_LCM_162C_D,true,false
2119,STL_LCM_162D,TR_S_347_LCM,549647,0,552897,0,Siding,true,None,false,0,0,SSP_LCM_162D_U;SSP_LCM_162D_D,true,false
2120,STL_LCM_163A,TR_S_347_LCM,552897,0,556147,0,Siding,true,None,false,0,0,SSP_LCM_163A_U;SSP_LCM_163A_D,true,false
2121,STL_LCM_163B,TR_S_347_LCM,556147,0,559347,0,Siding,true,None,false,0,0,SSP_LCM_163B_U;SSP_LCM_163B_D,true,false
2122,STL_LCM_163C,TR_S_347_LCM,559347,0,562547,0,Siding,true,None,false,0,0,SSP_LCM_163C_U;SSP_LCM_163C_D,true,false
2123,STL_LCM_163D,TR_S_347_LCM,562547,0,566747,0,Siding,true,None,false,0,0,SSP_LCM_163D_U;SSP_LCM_163D_D,true,false
2124,STL_LCM_115A,TR_S_317_LCM,545089,0,549289,0,Siding,true,None,false,0,0,SSP_LCM_115A_U;SSP_LCM_115A_D,true,false
2125,STL_LCM_115B,TR_S_317_LCM,549289,0,552489,0,Siding,true,None,false,0,0,SSP_LCM_115B_U;SSP_LCM_115B_D,true,false
2126,STL_LCM_115C,TR_S_317_LCM,552489,0,555689,0,Siding,true,None,false,0,0,SSP_LCM_115C_U;SSP_LCM_115C_D,true,false
2127,STL_LCM_115D,TR_S_317_LCM,555689,0,559889,0,Siding,true,None,false,0,0,SSP_LCM_115D_U;SSP_LCM_115D_D,true,false
2128,STL_SLW_100A,TR_S_EOT_309_SLW,447076,-3,450726,-62,Siding,true,None,false,0,0,SSP_SLW_100A_D,true,false
2129,STL_SLW_100B,TR_S_EOT_309_SLW,450726,-62,455367,-46,Siding,true,None,false,0,0,SSP_SLW_100B_D;SSP_SLW_100B_U,true,false
2130,STL_ZD_154A,TR_S_1799_EOT_ZD,972241,0,977242,0,Siding,true,None,false,0,0,SSP_ZD_154A_U,true,false
2131,STL_ZD_133D,TR_7B_ZD_ZD,1008977,0,1013177,0,Siding,true,None,false,0,0,SSP_ZD_133D_U;SSP_ZD_133D_D,true,false
2132,STL_ZD_133C,TR_7B_ZD_ZD,1005777,0,1008977,0,Siding,true,None,false,0,0,SSP_ZD_133C_U;SSP_ZD_133C_D,true,false
2133,STL_ZD_133B,TR_7B_ZD_ZD,1002577,0,1005777,0,Siding,true,None,false,0,0,SSP_ZD_133B_U;SSP_ZD_133B_D,true,false
2134,STL_ZD_133A,TR_7B_ZD_ZD,999327,0,1002577,0,Siding,true,None,false,0,0,SSP_ZD_133A_U;SSP_ZD_133A_D,true,false
