ID,Name,ATC_Equipment_Type,SSID,Urbalis_Sector_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Train_ID
5233,CC_113,CC,113,US_SCMA,10.69.113.24,10.65.113.24,10.69.113.24,10.65.113.24,255.255.255.0,255.255.255.0,10.69.113.138,10.65.113.137,0,113
5235,CC_115,CC,115,US_SCMA,10.69.115.24,10.65.115.24,10.69.115.24,10.65.115.24,255.255.255.0,255.255.255.0,10.69.115.138,10.65.115.137,0,115
5237,CC_117,CC,117,US_SCMA,10.69.117.24,10.65.117.24,10.69.117.24,10.65.117.24,255.255.255.0,255.255.255.0,10.69.117.138,10.65.117.137,0,117
5239,CC_119,CC,119,US_SCMA,10.69.119.24,10.65.119.24,10.69.119.24,10.65.119.24,255.255.255.0,255.255.255.0,10.69.119.138,10.65.119.137,0,119
5241,CC_121,CC,121,US_SCMA,10.69.121.24,10.65.121.24,10.69.121.24,10.65.121.24,255.255.255.0,255.255.255.0,10.69.121.138,10.65.121.137,0,121
5243,CC_123,CC,123,US_SCMA,10.69.123.24,10.65.123.24,10.69.123.24,10.65.123.24,255.255.255.0,255.255.255.0,10.69.123.138,10.65.123.137,0,123
5245,CC_125,CC,125,US_SCMA,10.69.125.24,10.65.125.24,10.69.125.24,10.65.125.24,255.255.255.0,255.255.255.0,10.69.125.138,10.65.125.137,0,125
5247,CC_127,CC,127,US_SCMA,10.69.127.24,10.65.127.24,10.69.127.24,10.65.127.24,255.255.255.0,255.255.255.0,10.69.127.138,10.65.127.137,0,127
5249,CC_129,CC,129,US_SCMA,10.69.129.24,10.65.129.24,10.69.129.24,10.65.129.24,255.255.255.0,255.255.255.0,10.69.129.138,10.65.129.137,0,129
5251,CC_131,CC,131,US_SCMA,10.69.131.24,10.65.131.24,10.69.131.24,10.65.131.24,255.255.255.0,255.255.255.0,10.69.131.138,10.65.131.137,0,131
5253,CC_133,CC,133,US_SCMA,10.69.133.24,10.65.133.24,10.69.133.24,10.65.133.24,255.255.255.0,255.255.255.0,10.69.133.138,10.65.133.137,0,133
5255,CC_135,CC,135,US_SCMA,10.69.135.24,10.65.135.24,10.69.135.24,10.65.135.24,255.255.255.0,255.255.255.0,10.69.135.138,10.65.135.137,0,135
5257,CC_137,CC,137,US_SCMA,10.69.137.24,10.65.137.24,10.69.137.24,10.65.137.24,255.255.255.0,255.255.255.0,10.69.137.138,10.65.137.137,0,137
5259,CC_139,CC,139,US_SCMA,10.69.139.24,10.65.139.24,10.69.139.24,10.65.139.24,255.255.255.0,255.255.255.0,10.69.139.138,10.65.139.137,0,139
5261,CC_141,CC,141,US_SCMA,10.69.141.24,10.65.141.24,10.69.141.24,10.65.141.24,255.255.255.0,255.255.255.0,10.69.141.138,10.65.141.137,0,141
5263,CC_143,CC,143,US_SCMA,10.69.143.24,10.65.143.24,10.69.143.24,10.65.143.24,255.255.255.0,255.255.255.0,10.69.143.138,10.65.143.137,0,143
5265,CC_145,CC,145,US_SCMA,10.69.145.24,10.65.145.24,10.69.145.24,10.65.145.24,255.255.255.0,255.255.255.0,10.69.145.138,10.65.145.137,0,145
5267,CC_147,CC,147,US_SCMA,10.69.147.24,10.65.147.24,10.69.147.24,10.65.147.24,255.255.255.0,255.255.255.0,10.69.147.138,10.65.147.137,0,147
5269,CC_149,CC,149,US_SCMA,10.69.149.24,10.65.149.24,10.69.149.24,10.65.149.24,255.255.255.0,255.255.255.0,10.69.149.138,10.65.149.137,0,149
