ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
1031,COE_EPP_8_LD_34_U_M5,TR_8_ND_ZD,1434940,-1288,1453160,-285,Up,false
1032,COE_EPP_8_LD_34_D_M5,TR_8_ND_ZD,1434940,-1288,1453160,-285,Down,false
1033,COE_EPP_7A_RU_45_U_M5,TR_7A_ND_ZD,1434940,45,1453160,1049,Up,false
1034,COE_EPP_7A_RU_45_D_M5,TR_7A_ND_ZD,1434940,45,1453160,1049,Down,false
1035,COE_ZD_7A_RU_55_D_M5,TR_7A_ND_ZD,1582381,146,1599400,644,Down,false
1036,COE_CSN_100A_U_M5,TR_S_EOT_3277_CSN,918512,417,934336,-811,Up,false
2001,COE_CS_2A_RD_2_U,TR_2A_CS_GN,11366,-70,25078,-3,Up,false
2002,COE_CS_1A_LU_1_U,TR_1A_CS_GN,11168,1,24631,-22,Up,false
2003,COE_NMT_2A_RD_2_U,TR_2A_CS_GN,84080,153,103116,59,Up,false
2004,COE_NMT_2A_RD_2_D,TR_2A_CS_GN,84080,153,103116,59,Down,false
2005,COE_NMT_1A_LU_1_U,TR_1A_CS_GN,83716,-4,102802,-75,Up,false
2006,COE_NMT_1A_LU_1_D,TR_1A_CS_GN,83716,-4,102802,-75,Down,false
2007,COE_WLP_2A_RD_6_U,TR_2A_CS_GN,140578,161,159564,-58,Up,false
2008,COE_WLP_2A_RD_6_D,TR_2A_CS_GN,140578,161,159564,-58,Down,false
2009,COE_WLP_1A_LU_5_U,TR_1A_CS_GN,140981,28,159967,-39,Up,false
2010,COE_WLP_1A_LU_5_D,TR_1A_CS_GN,140981,28,159967,-39,Down,false
2011,COE_WPP_2A_LD_10_U,TR_2A_CS_GN,211324,-36,226064,-20,Up,false
2012,COE_WPP_2A_LD_10_D,TR_2A_CS_GN,211324,-36,226064,-20,Down,false
2013,COE_WPP_1A_RU_11_U,TR_1A_CS_GN,211606,-8,226092,50,Up,false
2014,COE_WPP_1A_RU_11_D,TR_1A_CS_GN,211606,-8,226092,50,Down,false
2015,COE_WBS_2A_RD_16_U,TR_2A_CS_GN,294021,12,313057,0,Up,false
2016,COE_WBS_2A_RD_16_D,TR_2A_CS_GN,294021,12,313057,0,Down,false
2017,COE_WBS_1A_LU_17_U,TR_1A_CS_GN,294021,-28,313107,-33,Up,false
2018,COE_WBS_1A_LU_17_D,TR_1A_CS_GN,294021,-28,313107,-33,Down,false
2019,COE_ASA_2A_LD_4_8_U,TR_2A_CS_GN,391261,52,404751,-91,Up,false
2020,COE_ASA_2A_LD_4_8_D,TR_2A_CS_GN,391261,52,404751,-91,Down,false
2021,COE_ASA_1A_RU_3_U,TR_1A_CS_GN,388526,31,407512,-73,Up,false
2022,COE_ASA_1A_RU_3_D,TR_1A_CS_GN,388526,31,407512,-73,Down,false
2023,COE_SLW_4A_LD_24_U,TR_4A_SLW_ZD,462931,22,475167,-23,Up,false
2024,COE_SLW_4A_LD_24_D,TR_4A_SLW_ZD,462931,22,475167,-23,Down,false
2025,COE_SLW_3A_RU_15_U,TR_3A_SLW_ZD,463032,22,475282,-28,Up,false
2026,COE_SLW_3A_RU_15_D,TR_3A_SLW_ZD,463032,22,475282,-28,Down,false
2027,COE_SLW_2A_RD_12_U,TR_2A_CS_GN,456100,56,475084,-46,Up,false
2028,COE_SLW_2A_RD_12_D,TR_2A_CS_GN,456100,56,475084,-46,Down,false
2029,COE_SLW_1A_LU_7_U,TR_1A_CS_GN,456325,-2,475312,-13,Up,false
2030,COE_SLW_1A_LU_7_D,TR_1A_CS_GN,456325,-2,475312,-13,Down,false
2031,COE_MDW_2A_RD_8_U,TR_2A_CS_GN,591926,27,616134,-19,Up,false
2032,COE_MDW_2A_RD_8_D,TR_2A_CS_GN,591926,27,616134,-19,Down,false
2033,COE_MDW_6C_LD_16_U,TR_6C_MDW_MDW,593079,4,608312,0,Up,false
2034,COE_MDW_6C_LD_16_D,TR_6C_MDW_MDW,593079,4,608312,0,Down,false
2035,COE_MDW_5C_RU_15_U,TR_5C_MDW_MDW,593997,44,609222,4,Up,false
2036,COE_MDW_5C_RU_15_D,TR_5C_MDW_MDW,593997,44,609222,4,Down,false
2037,COE_MDW_1A_LU_7_U,TR_1A_CS_GN,592852,57,617011,13,Up,false
2038,COE_MDW_1A_LU_7_D,TR_1A_CS_GN,592852,57,617011,13,Down,false
2039,COE_DVD_2A_LD_2_U,TR_2A_CS_GN,632811,152,696292,38,Up,false
2040,COE_DVD_2A_LD_2_D,TR_2A_CS_GN,632811,152,696292,38,Down,false
2041,COE_DVD_1A_RU_1_U,TR_1A_CS_GN,633342,3,697435,-25,Up,false
2042,COE_DVD_1A_RU_1_D,TR_1A_CS_GN,633342,3,697435,-25,Down,false
2043,COE_SVT_2A_RD_6_U,TR_2A_CS_GN,741138,44,760124,34,Up,false
2044,COE_SVT_2A_RD_6_D,TR_2A_CS_GN,741138,44,760124,34,Down,false
2045,COE_SVT_1A_LU_5_U,TR_1A_CS_GN,742225,-6,761213,-27,Up,false
2046,COE_SVT_1A_LU_5_D,TR_1A_CS_GN,742225,-6,761213,-27,Down,false
2047,COE_BMR_2A_RD_2_U,TR_2A_CS_GN,830439,57,849526,31,Up,false
2048,COE_BMR_2A_RD_2_D,TR_2A_CS_GN,830439,57,849526,31,Down,false
2049,COE_BMR_1A_LU_1_U,TR_1A_CS_GN,831696,14,850683,-68,Up,false
