ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value
6198,BC_6198,TR_S_1921_ZD,994542,276
6199,BC_6199,TR_S_1921_ZD,994962,276
6200,BC_6200,TR_S_1921_ZD,996102,176
6201,BC_6201,TR_S_1921_ZD,996422,276
6202,BC_6202,TR_S_1921_ZD,997842,176
6203,BC_6203,TR_S_1921_ZD,998162,276
6206,BC_6206,TR_S_1921_ZD,1000202,-624
6209,BC_6209,TR_S_1921_ZD,1001942,-1944
6210,BC_6210,TR_S_1921_ZD,1003402,-2084
6211,BC_6211,TR_S_1921_ZD,1003822,-2084
6212,BC_6212,TR_S_1921_ZD,1005142,-2364
6213,BC_6213,TR_S_1921_ZD,1005562,-2364
6215,BC_6215,TR_S_1921_ZD,1006602,-2084
6216,BC_6216,TR_S_1921_ZD,1007022,-2084
6217,BC_6217,TR_S_1921_ZD,1008342,-2364
6218,BC_6218,TR_S_1921_ZD,1008762,-2364
6220,BC_6220,TR_S_1921_ZD,1009913,-2195
6221,BC_6221,TR_S_1921_ZD,1010222,-2084
6224,BC_6224,TR_S_1921_ZD,1011653,-2055
6225,BC_6225,TR_S_1921_ZD,1011962,-2034
6879,BC_6879,TR_S_1921_ZD,1014900,-182
6880,BC_6880,TR_S_1921_ZD,1023252,-1752
6873,BC_6873,TR_S_1915_ZD,980865,-51401
6076,BC_6076,TR_S_1915_ZD,984245,-51731
6078,BC_6078,TR_S_1915_ZD,985985,-53141
6079,BC_6079,TR_S_1915_ZD,987445,-53191
6080,BC_6080,TR_S_1915_ZD,987865,-53281
6083,BC_6083,TR_S_1915_ZD,989185,-53141
6084,BC_6084,TR_S_1915_ZD,989605,-53141
6085,BC_6085,TR_S_1915_ZD,990645,-52861
6087,BC_6087,TR_S_1915_ZD,991065,-52861
6088,BC_6088,TR_S_1915_ZD,992385,-53141
6089,BC_6089,TR_S_1915_ZD,992805,-53141
6092,BC_6092,TR_S_1915_ZD,993845,-52861
6093,BC_6093,TR_S_1915_ZD,994265,-52861
6094,BC_6094,TR_S_1915_ZD,995585,-53141
6095,BC_6095,TR_S_1915_ZD,996005,-53141
6097,BC_6097,TR_S_1915_ZD,997045,-52861
6098,BC_6098,TR_S_1915_ZD,997465,-52861
6100,BC_6100,TR_S_1915_ZD,998785,-53141
6101,BC_6101,TR_S_1915_ZD,999205,-53141
6102,BC_6102,TR_S_1915_ZD,1000645,-53261
6103,BC_6103,TR_S_1915_ZD,1001065,-53261
6104,BC_6104,TR_S_1915_ZD,1002385,-53441
6105,BC_6105,TR_S_1915_ZD,1002805,-53441
6106,BC_6106,TR_S_1915_ZD,1003845,-53161
6107,BC_6107,TR_S_1915_ZD,1004265,-53161
6108,BC_6108,TR_S_1915_ZD,1005585,-53441
6109,BC_6109,TR_S_1915_ZD,1006005,-53441
6111,BC_6111,TR_S_1915_ZD,1007045,-53161
