ID,Name,Track_ID,Platform_Type,Stabling_Location_ID,PSD_ID,ESP_ID_List,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Platform_Length,Max_Alignment_Distance,C_Dock_Prec_Dist_Max,Skip_Speed,C_Late_Change_Distance,SSP_ID_List,Secondary_SSP_ID_List,Pre_Platform_SSP_ID_List,Default_Stop
43,PF_OAS_6A_LU,TR_6A_MDW_OAS,Single Left Docking,0,0,0,652007,0,664950,0,12943,0,0,30,52098,SSP_OAS_15_U_1;SSP_OAS_15_U_2;SSP_OAS_15_U_3;SSP_OAS_15_U_4;SSP_OAS_15_D_1;SSP_OAS_15_D_2;SSP_OAS_15_D_3;SSP_OAS_15_D_4,0,SSP_PP_OAS_19_U;SSP_PP_OAS_15_D,true
44,PF_MDW_6C_LD,TR_6C_MDW_MDW,Single Left Docking,0,0,0,593179,0,606998,0,13819,0,0,30,52375,SSP_MDW_16D_D_1;SSP_MDW_16C_D_2;SSP_MDW_16B_D_3;SSP_MDW_16A_D_4;SSP_MDW_16D_U,0,SSP_PP_MDW_16D_U;SSP_PP_MDW_16A_D,true
45,PF_MDW_5C_RU,TR_5C_MDW_MDW,Single Right Docking,0,0,0,594097,0,607916,0,13819,0,0,30,52375,SSP_MDW_15D_D_1;SSP_MDW_15C_D_2;SSP_MDW_15B_D_3;SSP_MDW_15A_D_4;SSP_MDW_15D_U,0,SSP_PP_MDW_15_U;SSP_PP_MDW_15_D,true
46,PF_VPD_5D_LU,TR_5D_MDW_DMZ,Single Left Docking,0,0,0,168536,0,184009,0,15473,0,0,30,84231,SSP_VPD_1_U_1;SSP_VPD_1_U_2;SSP_VPD_1_U_3;SSP_VPD_1_U_4;SSP_VPD_1_D_1;SSP_VPD_1_D_2;SSP_VPD_1_D_3;SSP_VPD_1_D_4,0,SSP_PP_DMZ_1_U;SSP_PP_DMZ_1_D,true
47,PF_VPD_6D_RD,TR_6D_MDW_DMZ,Single Right Docking,0,0,0,166723,0,182222,0,15499,0,0,30,100920,SSP_VPD_2_U_1;SSP_VPD_2_U_2;SSP_VPD_2_U_3;SSP_VPD_2_U_4;SSP_VPD_2_D_1;SSP_VPD_2_D_2;SSP_VPD_2_D_3;SSP_VPD_2_D_4,0,SSP_PP_DMZ_2_U;SSP_PP_DMZ_2_D,true
48,PF_DMZ_5D_LU,TR_5D_MDW_DMZ,Single Left Docking,0,0,0,247986,0,263486,0,15500,0,0,30,65906,SSP_DMZ_5_U_1;SSP_DMZ_5_U_2;SSP_DMZ_5_U_3;SSP_DMZ_5_U_4;SSP_DMZ_5_D_1;SSP_DMZ_5_D_2;SSP_DMZ_5_D_3;SSP_DMZ_5_D_4,0,SSP_PP_DMZ_5_U;SSP_PP_DMZ_5_D,true
49,PF_DMZ_6D_RD,TR_6D_MDW_DMZ,Single Right Docking,0,0,0,246166,0,261651,0,15485,0,0,30,66142,SSP_DMZ_6_U_1;SSP_DMZ_6_U_2;SSP_DMZ_6_U_3;SSP_DMZ_6_U_4;SSP_DMZ_6_D_1;SSP_DMZ_6_D_2;SSP_DMZ_6_D_3;SSP_DMZ_6_D_4,0,SSP_PP_DMZ_6_U;SSP_PP_DMZ_6_D,true
50,PF_VSW_5E_LU,TR_5E_DMZ_GPP,Single Left Docking,0,0,0,783491,0,799021,0,15530,0,0,25,49231,SSP_VSW_9A_D;SSP_VSW_9A_U_1;SSP_VSW_9A_U_2;SSP_VSW_9A_U_3;SSP_VSW_9A_U_4,0,SSP_PP_DMZ_9_U;SSP_PP_DMZ_9_D,true
51,PF_VSW_6E_RD,TR_6E_DMZ_GPP,Single Right Docking,0,0,0,784503,0,800018,0,15515,0,0,25,49247,SSP_VSW_10_D;SSP_VSW_10_U_1;SSP_VSW_10_U_2;SSP_VSW_10_U_3;SSP_VSW_10_U_4,0,SSP_PP_DMZ_10_U;SSP_PP_DMZ_10_D,true
52,PF_GZH_5E_LU,TR_5E_DMZ_GPP,Single Left Docking,0,0,0,844310,0,859777,0,15467,0,0,25,77760,SSP_GZH_1_D_1;SSP_GZH_1_D_2;SSP_GZH_1_D_3;SSP_GZH_1_D_4;SSP_GZH_1_U,0,SSP_PP_GPP_1_U;SSP_PP_GPP_1_D,true
