ID,Name,Track_ID,PSR_Type,Direction,PSR_Speed,KpValue,KpCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List
295,PSR_ITW3_ITW_FD,TR_S_ITW3_ITW,Functional,Down,25,1896799,0,0
296,PSR_ITW3_ITW_SD,TR_S_ITW3_ITW,Safety,Down,27,1896799,0,0
1001,PSR_3201_ND_ZD_FU,TR_I_3201_ND,Functional,Up,25,0,-600,0
1002,PSR_3201_ND_ZD_SU,TR_I_3201_ND,Safety,Up,27,0,-600,0
1005,PSR_3203_ND_ZD_FU,TR_I_3203_ND,Functional,Up,25,0,-600,0
1006,PSR_3203_ND_ZD_SU,TR_I_3203_ND,Safety,Up,27,0,-600,0
1053,PSR_3223_ND_ZD_1_FU,TR_I_3223_ND,Functional,Up,70,0,0,0
1054,PSR_3223_ND_ZD_1_SU,TR_I_3223_ND,Safety,Up,77,0,0,0
1105,PSR_3225_ND_ZD_1_FU,TR_I_3225_ND,Functional,Up,70,0,0,0
1106,PSR_3225_ND_ZD_1_SU,TR_I_3225_ND,Safety,Up,77,0,0,0
1203,PSR_3255_ND_ZD_1_FU,TR_I_3255_CSN,Functional,Up,40,0,0,0
1204,PSR_3255_ND_ZD_1_SU,TR_I_3255_CSN,Safety,Up,44,0,0,0
1213,PSR_3257_ND_ZD_1_FU,TR_I_3257_CSN,Functional,Up,40,0,0,0
1214,PSR_3257_ND_ZD_1_SU,TR_I_3257_CSN,Safety,Up,44,0,0,0
1217,PSR_3273_ND_ZD_1_FU,TR_I_3273_CSN,Functional,Up,25,0,0,0
1218,PSR_3273_ND_ZD_1_SU,TR_I_3273_CSN,Safety,Up,27,0,0,0
1223,PSR_3313_ND_ZD_1_FU,TR_I_3313_CSN,Functional,Up,40,0,0,0
1224,PSR_3313_ND_ZD_1_SU,TR_I_3313_CSN,Safety,Up,44,0,0,0
1225,PSR_3309_ND_ZD_1_FU,TR_I_3309_CSN,Functional,Up,40,0,0,0
1226,PSR_3309_ND_ZD_1_SU,TR_I_3309_CSN,Safety,Up,44,0,0,0
1227,PSR_3423_ND_ZD_1_FU,TR_I_3423_VZG,Functional,Up,40,0,0,0
1228,PSR_3423_ND_ZD_1_SU,TR_I_3423_VZG,Safety,Up,44,0,0,0
1229,PSR_3421_ND_ZD_1_FU,TR_I_3421_VZG,Functional,Up,40,0,0,0
1230,PSR_3421_ND_ZD_1_SU,TR_I_3421_VZG,Safety,Up,44,0,0,0
1231,PSR_3503_ND_ZD_1_FU,TR_I_3503_ZD,Functional,Up,40,0,0,0
1232,PSR_3503_ND_ZD_1_SU,TR_I_3503_ZD,Safety,Up,44,0,0,0
1233,PSR_3501_ND_ZD_1_FU,TR_I_3501_ZD,Functional,Up,40,0,0,0
1234,PSR_3501_ND_ZD_1_SU,TR_I_3501_ZD,Safety,Up,44,0,0,0
1235,PSR_3521_ND_ZD_1_FU,TR_I_3521_ZD,Functional,Up,40,0,0,0
1236,PSR_3521_ND_ZD_1_SU,TR_I_3521_ZD,Safety,Up,44,0,0,0
1237,PSR_3523_ND_ZD_1_FU,TR_I_3523_ZD,Functional,Up,40,0,0,0
