ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List,Direction_After_Change_Of_Direction,SSP_ID_List,Change_Of_Ends_Zone_ID_List,Default_Stop,Traffic_Reversal_Commands
2203,COD_LCM_135A_B,TR_S_343_LCM,545591,0,548841,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_135A_U;SSP_LCM_135A_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,Up
2204,COD_LCM_135B_B,TR_S_343_LCM,548841,0,552041,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_135B_U;SSP_LCM_135B_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,None
2205,COD_LCM_135C_B,TR_S_343_LCM,552041,0,555241,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_135C_U;SSP_LCM_135C_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,None
2206,COD_LCM_135D_B,TR_S_343_LCM,555241,0,559041,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_135D_U;SSP_LCM_135D_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,Down
2207,COD_LCM_141A_B,TR_S_373_LCM,531371,0,535571,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_141A_U;SSP_LCM_141A_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,Up
2208,COD_LCM_141B_B,TR_S_373_LCM,535571,0,538771,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_141B_U;SSP_LCM_141B_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,None
2209,COD_LCM_141C_B,TR_S_373_LCM,538771,0,541971,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_141C_U;SSP_LCM_141C_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,None
2210,COD_LCM_141D_B,TR_S_373_LCM,541971,0,545221,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_141D_U;SSP_LCM_141D_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,Down
2211,COD_LCM_142A_B,TR_S_373_LCM,545221,0,548471,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_142A_U;SSP_LCM_142A_D,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,Up
2212,COD_LCM_142B_B,TR_S_373_LCM,548471,0,551671,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_142B_D;SSP_LCM_142B_U,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,None
