ID,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Curve_Radius,Real_Grade
177,TR_3B_ASW_ITW,1459873,0,1,-19
178,TR_3B_ASW_ITW,1462373,0,1,-22
179,TR_3B_ASW_ITW,1464873,0,1,-25
180,TR_3B_ASW_ITW,1467373,0,1,-24
181,TR_3B_ASW_ITW,1469873,0,1,-20
182,TR_3B_ASW_ITW,1472373,0,1,-17
183,TR_3B_ASW_ITW,1474873,0,1,-20
184,TR_3B_ASW_ITW,1477373,0,1,-22
185,TR_3B_ASW_ITW,1479873,0,1,-24
186,TR_3B_ASW_ITW,1482373,0,1,-18
187,TR_3B_ASW_ITW,1484873,0,1,-1
188,TR_3B_ASW_ITW,1487373,0,1,29
189,TR_3B_ASW_ITW,1489873,0,1,57
190,TR_3B_ASW_ITW,1492373,0,1,69
191,TR_3B_ASW_ITW,1494873,0,1,59
192,TR_3B_ASW_ITW,1497373,0,1,34
193,TR_3B_ASW_ITW,1499873,0,1,7
194,TR_3B_ASW_ITW,1502373,0,1,-10
195,TR_3B_ASW_ITW,1504873,0,1,-17
196,TR_3B_ASW_ITW,1507373,0,1,-17
197,TR_3B_ASW_ITW,1509873,0,1,-17
198,TR_3B_ASW_ITW,1512373,0,1,-15
199,TR_3B_ASW_ITW,1514873,0,1,-13
200,TR_3B_ASW_ITW,1517373,0,1,-10
201,TR_3B_ASW_ITW,1519873,0,1,-7
202,TR_3B_ASW_ITW,1522373,0,1,-4
203,TR_3B_ASW_ITW,1524873,0,1,-3
204,TR_3B_ASW_ITW,1527373,0,1,-4
205,TR_3B_ASW_ITW,1529873,0,1,-12
206,TR_3B_ASW_ITW,1532373,0,1,-22
207,TR_3B_ASW_ITW,1534873,0,1,-27
208,TR_3B_ASW_ITW,1537373,0,1,-28
209,TR_3B_ASW_ITW,1539873,0,1,-21
210,TR_3B_ASW_ITW,1542373,0,1,-13
211,TR_3B_ASW_ITW,1544873,0,1,-7
212,TR_3B_ASW_ITW,1547373,0,1,-6
213,TR_3B_ASW_ITW,1549873,0,1,-9
214,TR_3B_ASW_ITW,1552373,0,1,-11
215,TR_3B_ASW_ITW,1554873,0,1,-10
216,TR_3B_ASW_ITW,1557373,0,1,-5
217,TR_3B_ASW_ITW,1559873,0,1,-4
218,TR_3B_ASW_ITW,1562373,0,1,-5
219,TR_3B_ASW_ITW,1564873,0,1,-20
