ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
1019,GTIZ_NZ_W_20,BMZ_NZ_2_20,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,0,R_9_CSN_2_CSN;R_8_CSN_2_CSN;R_9_CSN_2_CSN_C;R_8_CSN_2_CSN_C;R_7_ND_2_CSN;R_6_ND_2_CSN;R_7_ND_2_CSN_C;R_6_ND_2_CSN_C
1020,GTIZ_NZ_W_22,BMZ_NZ_2_22,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_4A_U_CSN,R_1_CSN_4B_CSN;R_1_CSN_4B_CSN_C;R_9_CSN_2_CSN;R_9_CSN_2_CSN_C;R_8_CSN_1_CSN;R_8_CSN_1_CSN_C
1021,GTIZ_NZ_W_24,BMZ_NZ_2_24,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_4A_U_CSN,R_1_CSN_4B_CSN;R_1_CSN_4B_CSN_C;R_8_CSN_2_CSN;R_8_CSN_2_CSN_C;R_8_CSN_1_CSN;R_8_CSN_1_CSN_C;R_9_CSN_2_CSN;R_9_CSN_2_CSN_C
1022,GTIZ_NZ_W_30,BMZ_NZ_2_30,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_12_D_CSN;SI_6_U_CSN,R_100A_CSN_14_CSN;R_100A_CSN_14_CSN_C
1023,GTIZ_NZ_W_40,BMZ_NZ_2_40,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_6_U_CSN,R_19_CSN_14_CSN;R_18_CSN_14_CSN;R_19_CSN_14_CSN_C;R_18_CSN_14_CSN_C;R_100A_CSN_14_CSN;R_100A_CSN_14_CSN_C
1024,GTIZ_NZ_W_42,BMZ_NZ_2_42;BMZ_NZ_2_44,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_16_U_CSN;SI_20_D_CSN,R_15_CSN_2_VZG;R_15_CSN_2_VZG_C;R_19_CSN_14_CSN;R_19_CSN_14_CSN_C
1025,GTIZ_NZ_W_30_31,BMZ_NZ_1_31;BMZ_NZ_2_30,Not Critical,TCR_CSN_M_8_L,GTIZC_MB,SPKS_NZ_W_30_31,0,0,SI_7_U_CSN;SI_6_U_CSN;SI_12_D_CSN;SI_13_D_CSN;SI_101_U_CSN,0
1026,GTIZ_NZ_W_31_30,BMZ_NZ_2_30;BMZ_NZ_1_31,Not Critical,TCR_CSN_M_8_L,GTIZC_MB,SPKS_NZ_W_31_30,0,0,SI_7_U_CSN;SI_6_U_CSN;SI_12_D_CSN;SI_13_D_CSN;SI_101_U_CSN,0
1027,GTIZ_NZ_W_42_43,BMZ_NZ_44_45,Not Critical,TCR_CSN_M_8_L,GTIZC_MB,SPKS_NZ_W_42_43,0,0,SI_17_U_CSN;SI_16_U_CSN;SI_21_D_CSN;SI_20_D_CSN,0
1028,GTIZ_NZ_W_51,BMZ_NZ_1_51,Not Critical,TCR_VZG_M_8_R,GTIZC_WZ,0,0,0,0,R_5_VZG_1_VZG;R_6_VZG_1_VZG;R_5_VZG_1_VZG_C;R_6_VZG_1_VZG_C;R_15_CSN_1_VZG;R_15_CSN_1_VZG_C;R_14_CSN_1_VZG;R_14_CSN_1_VZG_C
