ID,Name,Type,Direction,Physical,Physical_Object_To_Measure,Choice_Selection_KP_Selection_Offset,Selection_KPTrack_ID,Selection_KPKpValue,Selection_KPKpCorrected_Trolley_Value,Selection_OffsetObject_Type,Selection_OffsetObject_ID,Selection_OffsetKP_Type,Selection_OffsetOffset
19,PSB_102_1687B_HDS_57,Generic,Both,false,None,Selection_KP,TR_I_1687_HDS,0,0,None,0,None,0
20,PSB_7_1653A_VLN_74,Generic,Both,false,None,Selection_KP,TR_I_1653_VLN,5339,0,None,0,None,0
21,PSB_8_1653B_VLN_75,Generic,Both,false,None,Selection_KP,TR_I_1653_VLN,0,0,None,0,None,0
22,PSB_8_1651A_VLN_81,Generic,Both,false,None,Selection_KP,TR_I_1651_VLN,5340,0,None,0,None,0
23,PSB_7_1651B_VLN_76,Generic,Both,false,None,Selection_KP,TR_I_1651_VLN,0,0,None,0,None,0
24,PSB_12_1635A_VLN_85,Generic,Both,false,None,Selection_KP,TR_I_1635_VLN,5530,0,None,0,None,0
25,PSB_11_1635B_VLN_84,Generic,Both,false,None,Selection_KP,TR_I_1635_VLN,0,0,None,0,None,0
26,PSB_11_1637A_VLN_84,Generic,Both,false,None,Selection_KP,TR_I_1637_VLN,5531,0,None,0,None,0
27,PSB_12_1637B_VLN_85,Generic,Both,false,None,Selection_KP,TR_I_1637_VLN,0,0,None,0,None,0
28,PSB_1_1617A_ITW_94,Generic,Both,false,None,Selection_KP,TR_I_1617_ITW,5581,0,None,0,None,0
29,PSB_2_1617B_ITW_95,Generic,Both,false,None,Selection_KP,TR_I_1617_ITW,0,0,None,0,None,0
30,PSB_2_1615A_ITW_97,Generic,Both,false,None,Selection_KP,TR_I_1615_ITW,13577,0,None,0,None,0
31,PSB_1_1615B_ITW_96,Generic,Both,false,None,Selection_KP,TR_I_1615_ITW,0,0,None,0,None,0
34,PSB_W_71_81,Generic,Both,true,Workzones_boundaries_71_81,Selection_KP,TR_4B_ASW_ITW,1613685,300,None,0,None,0
35,PSB_W_20_22,Generic,Both,true,Workzones_boundaries_20_22,Selection_KP,TR_3B_ASW_ITW,1069350,-46,None,0,None,0
38,PSB_W_22_26,Generic,Both,true,Workzones_boundaries_22_26,Selection_KP,TR_3B_ASW_ITW,1110650,-317,None,0,None,0
39,PSB_W_26_28,Generic,Both,true,Workzones_boundaries_26_28,Selection_KP,TR_3B_ASW_ITW,1112253,1404,None,0,None,0
40,PSB_W_28_30,Generic,Both,true,Workzones_boundaries_28_30,Selection_KP,TR_3B_ASW_ITW,1241657,-883,None,0,None,0
43,PSB_W_30_40,Generic,Both,true,Workzones_boundaries_30_40,Selection_KP,TR_3B_ASW_ITW,1291611,0,None,0,None,0
44,PSB_W_40_50,Generic,Both,true,Workzones_boundaries_40_50,Selection_KP,TR_3B_ASW_ITW,1365257,-669,None,0,None,0
46,PSB_W_50_54,Generic,Both,true,Workzones_boundaries_50_54,Selection_KP,TR_3B_ASW_ITW,1420773,-273,None,0,None,0
48,PSB_W_54_60,Generic,Both,true,Workzones_boundaries_54_60,Selection_KP,TR_3B_ASW_ITW,1445073,-93,None,0,None,0
49,PSB_W_60_70,Generic,Both,true,Workzones_boundaries_60_70,Selection_KP,TR_3B_ASW_ITW,1539473,-96,None,0,None,0
50,PSB_W_70_80,Generic,Both,true,Workzones_boundaries_70_80,Selection_KP,TR_3B_ASW_ITW,1611292,127,None,0,None,0
53,PSB_W_80_90,Generic,Both,true,Workzones_boundaries_80_90,Selection_KP,TR_3B_ASW_ITW,1701971,496,None,0,None,0
57,PSB_W_92_96,Generic,Both,true,Workzones_boundaries_92_96,Selection_KP,TR_3B_ASW_ITW,1845389,-255,None,0,None,0
59,PSB_W_21_25,Generic,Both,true,Workzones_boundaries_21_25,Selection_KP,TR_4B_ASW_ITW,1074999,67,None,0,None,0
60,PSB_W_25_27,Generic,Both,true,Workzones_boundaries_25_27,Selection_KP,TR_4B_ASW_ITW,1110777,-321,None,0,None,0
61,PSB_W_27_29,Generic,Both,true,Workzones_boundaries_27_29,Selection_KP,TR_4B_ASW_ITW,1112379,1359,None,0,None,0
62,PSB_W_29_31,Generic,Both,true,Workzones_boundaries_29_31,Selection_KP,TR_4B_ASW_ITW,1243731,-623,None,0,None,0
63,PSB_W_31_41,Generic,Both,true,Workzones_boundaries_31_41,Selection_KP,TR_4B_ASW_ITW,1293753,66,None,0,None,0
64,PSB_W_41_51,Generic,Both,true,Workzones_boundaries_41_51,Selection_KP,TR_4B_ASW_ITW,1347575,1002,None,0,None,0
66,PSB_W_51_55,Generic,Both,true,Workzones_boundaries_51_55,Selection_KP,TR_4B_ASW_ITW,1423307,-524,None,0,None,0
68,PSB_W_55_61,Generic,Both,true,Workzones_boundaries_55_61,Selection_KP,TR_4B_ASW_ITW,1447205,-166,None,0,None,0
69,PSB_W_61_71,Generic,Both,true,Workzones_boundaries_61_71,Selection_KP,TR_4B_ASW_ITW,1484005,133,None,0,None,0
71,PSB_W_81_91,Generic,Both,true,Workzones_boundaries_81_91,Selection_KP,TR_4B_ASW_ITW,1703617,754,None,0,None,0
72,PSB_W_91_93,Generic,Both,true,Workzones_boundaries_91_93,Selection_KP,TR_4B_ASW_ITW,1772822,-396,None,0,None,0
73,PSB_W_93_97,Generic,Both,true,Workzones_boundaries_93_97,Selection_KP,TR_4B_ASW_ITW,1853058,-2443,None,0,None,0
74,PSB_27_1793_ZD_20,Generic,Both,false,None,Selection_KP,TR_S_1921_ZD,1026985,0,None,0,None,0
75,PSB_22_1791_ZD_21,Generic,Both,false,None,Selection_KP,TR_S_1915_ZD,981991,0,None,0,None,0
76,PSB_5_1529_ITW_1,Generic,Both,false,None,Selection_KP,TR_S_EOT_1529_ITW,1878449,0,None,0,None,0
77,PSB_5_1531_ITW_1,Generic,Both,false,None,Selection_KP,TR_S_1531_EOT_ITW,1878449,0,None,0,None,0
78,PSB_6_1527_ITW_6,Generic,Both,false,None,Selection_KP,TR_4B_ASW_ITW,1881987,0,None,0,None,0
79,PSB_W_3_5,Generic,Both,true,Workzones_boundaries_03_05,Selection_KP,TR_S_ITW2_ITW,1881000,0,None,0,None,0
1001,PSB_5_3213_ND_11,Generic,Both,false,None,Selection_KP,TR_S_EOT_3213_ND,651476,2,None,0,None,0
1002,PSB_122_3201A_ND_5,Generic,Both,false,None,Selection_KP,TR_I_3201_ND,0,-600,None,0,None,0
1003,PSB_4_3211_ND_10,Generic,Both,false,None,Selection_KP,TR_S_EOT_3211_ND,651476,8,None,0,None,0
1004,PSB_112_3203A_ND_2,Generic,Both,false,None,Selection_KP,TR_I_3203_ND,0,-600,None,0,None,0
1005,PSB_112_3207_ND_2,Generic,Both,false,None,Selection_KP,TR_S_EOT_3207_ND,642885,-740,None,0,None,0
1006,PSB_112_3201B_ND_2,Generic,Both,false,None,Selection_KP,TR_I_3201_ND,2845,0,None,0,None,0
1007,PSB_122_3205_ND_5,Generic,Both,false,None,Selection_KP,TR_S_EOT_3205_ND,641411,748,None,0,None,0
1008,PSB_122_3203B_ND_5,Generic,Both,false,None,Selection_KP,TR_I_3203_ND,2831,0,None,0,None,0
1009,PSB_9_3223A_ND_11,Generic,Both,false,None,Selection_KP,TR_I_3223_ND,0,0,None,0,None,0
1010,PSB_8_3223B_ND_12,Generic,Both,false,None,Selection_KP,TR_I_3223_ND,20235,0,None,0,None,0
1011,PSB_9_3225B_ND_13,Generic,Both,false,None,Selection_KP,TR_I_3225_ND,12414,0,None,0,None,0
1012,PSB_8_3225A_ND_14,Generic,Both,false,None,Selection_KP,TR_I_3225_ND,0,0,None,0,None,0
1013,PSB_W_11_13,Generic,Both,true,Workzones_boundaries_11_13,Selection_KP,TR_7A_ND_ZD,710247,-22078,None,0,None,0
1014,PSB_W_10_14,Generic,Both,true,Workzones_boundaries_10_14,Selection_KP,TR_8_ND_ZD,700636,15,None,0,None,0
1015,PSB_8_ND_14,Generic,Both,true,Trackzones_boundaries_14_16,Selection_KP,TR_8_ND_ZD,709936,-7,None,0,None,0
1016,PSB_3_3255A_CSN_21,Generic,Both,false,None,Selection_KP,TR_I_3255_CSN,0,0,None,0,None,0
1017,PSB_4A_3255B_CSN_22,Generic,Both,false,None,Selection_KP,TR_I_3255_CSN,5310,-2,None,0,None,0
1018,PSB_3_3257B_CSN_23,Generic,Both,false,None,Selection_KP,TR_I_3257_CSN,5306,7,None,0,None,0
1019,PSB_4A_3257A_CSN_24,Generic,Both,false,None,Selection_KP,TR_I_3257_CSN,0,0,None,0,None,0
1020,PSB_W_21_23,Generic,Both,true,Workzones_boundaries_21_23,Selection_KP,TR_7A_ND_ZD,878000,9,None,0,None,0
1021,PSB_W_22_24,Generic,Both,true,Workzones_boundaries_22_24,Selection_KP,TR_8_ND_ZD,878400,-225,None,0,None,0
1022,PSB_101_3273_CSN_25,Generic,Both,false,None,Selection_KP,TR_I_3273_CSN,0,0,None,0,None,0
1023,PSB_7_3277_CSN_31,Generic,Both,false,None,Selection_KP,TR_S_EOT_3277_CSN,943517,67,None,0,None,0
