ID,Name,Safety_Derogation,Overlap_Type,Overlap_MASC,For_CBTC_Train,Response_To_Restrictive_Binary_Delay_BM,ATC_Overlap_Timer,Additional_CBI_Time,D_Overlap,D_Overlap_CBI,Strike_In_Distance,Overlap_Switch_ID_List,Overlap_Release_BM_SDD_ID_List,Berth_Distance,Berth_Route_ID_List
2101,O_SI_4_U_SVT,true,Not Interlocked,false,true,0,82000,117000,3700,0,0,0,0,0,0
2102,O_SI_4_D_SVT,true,Not Interlocked,false,true,0,82000,117000,2300,0,0,0,0,0,0
2103,O_SI_8_U_SVT,true,Not Interlocked,false,true,0,82000,117000,2830,0,0,0,0,0,0
2104,O_SI_8_D_SVT,true,Not Interlocked,false,true,0,82000,117000,2300,0,0,0,0,0,0
2105,O_SI_4_U_BLW,true,Not Interlocked,false,true,0,82000,117000,2700,0,0,0,0,0,0
2106,O_SI_4_D_BLW,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2107,O_SI_8_U_BLW,true,Not Interlocked,true,true,0,82000,117000,2200,0,0,0,0,0,0
2108,O_SI_12_D_BLW,true,CBI Preferred Normal,true,true,0,82000,117000,2600,8200,807,SW_BLW_641,0,7431,R_6_GN_2_GN
2109,O_SI_4_U_GN,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2110,O_SI_14_D_GN,true,CBI Preferred Normal,true,true,0,82000,117000,2600,5500,807,SW_GN_661,0,7745,R_20A_GN_16_GN;R_110A_GN_16_GN;R_13A_GN_16_GN;R_100A_GN_16_GN
2112,O_SI_3A_D_CS,true,Not Interlocked,false,true,0,82000,117000,2400,0,0,0,0,0,0
2113,O_SI_3_U_WPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2114,O_SI_3_D_WPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2115,O_SI_7_U_WPP,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2116,O_SI_15_D_WPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2117,O_SI_1_U_SLW,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
