ID,Name,Track_Type,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,UEVOL_Territory,Loop,Kp_Begin_LoopValue,Kp_Begin_LoopCorrected_Trolley_Value,Kp_End_LoopValue,Kp_End_LoopCorrected_Trolley_Value,Level,Driverless_Horn_Activation,Origin_Track_Survey
1020,TR_I_3501_ZD,Inter-Track,0,0,5700,-115,true,false,0,0,0,0,0,false,false
1021,TR_I_3521_ZD,Inter-Track,0,0,6100,-67,true,false,0,0,0,0,0,false,false
1022,TR_I_3523_ZD,Inter-Track,0,0,6100,-68,true,false,0,0,0,0,0,false,false
1023,TR_7B_ZD_ZD,Mainline,967812,0,1017056,0,true,false,0,0,0,0,66,false,false
1024,TR_EOT_3213X_ND,Siding,609366,0,608956,3410,false,false,0,0,0,0,66,false,false
2001,TR_2A_CS_GN,Mainline,11366,-70,1275488,-5,true,false,0,0,0,0,16,false,false
2002,TR_1A_CS_GN,Mainline,11168,1,1276896,-8,true,false,0,0,0,0,36,false,false
2003,TR_I_203_CS,Inter-Track,0,0,9521,0,true,false,0,0,0,0,0,false,false
2004,TR_I_201_CS,Inter-Track,0,0,9536,0,true,false,0,0,0,0,0,false,false
2005,TR_S_EOT_239_WPP,Siding,181246,-1,210606,0,true,false,0,0,0,0,26,false,false
2006,TR_I_235_WPP,Inter-Track,0,0,5486,0,true,false,0,0,0,0,0,false,false
2007,TR_I_237_WPP,Inter-Track,0,0,6381,0,true,false,0,0,0,0,0,false,false
2008,TR_I_245_WPP,Inter-Track,0,0,5683,0,true,false,0,0,0,0,0,false,false
2009,TR_I_247_WPP,Inter-Track,0,0,5214,0,true,false,0,0,0,0,0,false,false
2010,TR_I_261_SLW,Inter-Track,0,0,6477,0,true,false,0,0,0,0,0,false,false
2011,TR_I_263_SLW,Inter-Track,0,0,6480,0,true,false,0,0,0,0,0,false,false
2012,TR_S_EOT_309_SLW,Siding,447076,-3,462314,0,true,false,0,0,0,0,28,false,false
2013,TR_I_307_SLW,Inter-Track,0,0,6158,0,true,false,0,0,0,0,0,false,false
2014,TR_S_315_EOS_SLW,Siding,476057,0,525007,0,true,false,0,0,0,0,18,false,false
2015,TR_S_343_LCM,Siding,498115,0,563932,0,true,false,0,0,0,0,20,false,false
2016,TR_S_313_EOT_LCM,Siding,480591,0,546869,0,true,false,0,0,0,0,22,false,false
2017,TR_I_329_SLW,Inter-Track,0,0,5582,0,true,false,0,0,0,0,0,false,false
2018,TR_I_327_SLW,Inter-Track,0,0,5572,0,true,false,0,0,0,0,0,false,false
2019,TR_I_319_SLW,Inter-Track,0,0,5629,0,true,false,0,0,0,0,0,false,false
2022,TR_I_345_LCM,Inter-Track,0,0,3772,0,true,false,0,0,0,0,0,false,false
2023,TR_I_379_LCM,Inter-Track,0,0,3670,0,true,false,0,0,0,0,0,false,false
2024,TR_I_377_LCM,Inter-Track,0,0,3196,0,true,false,0,0,0,0,0,false,false
2025,TR_S_375_LCM,Siding,521394,0,573822,0,true,false,0,0,0,0,26,false,false
2026,TR_S_373_LCM,Siding,520321,0,569865,0,true,false,0,0,0,0,22,false,false
2027,TR_S_347_LCM,Siding,508880,0,573907,0,true,false,0,0,0,0,28,false,false
2028,TR_I_371_LCM,Inter-Track,0,0,4228,0,true,false,0,0,0,0,0,false,false
2029,TR_I_369_LCM,Inter-Track,0,0,4180,0,true,false,0,0,0,0,0,false,false
2031,TR_S_367_EOT_LCM,Siding,520609,0,540516,0,true,false,0,0,0,0,32,false,false
2032,TR_S_317_LCM,Siding,475732,0,569839,0,true,false,0,0,0,0,33,false,false
2033,TR_S_421_LCM,Siding,541201,0,564158,0,true,false,0,0,0,0,32,false,false
2034,TR_I_411_LCM,Inter-Track,0,0,3490,0,true,false,0,0,0,0,0,false,false
2035,TR_I_409_LCM,Inter-Track,0,0,3480,0,true,false,0,0,0,0,0,false,false
2036,TR_I_403_MDW,Inter-Track,0,0,31875,0,true,false,0,0,0,0,0,false,false
2037,TR_6B_MDW_MDW,Mainline,573688,189,591309,0,true,false,0,0,0,0,18,false,false
2038,TR_I_431_MDW,Inter-Track,0,0,16603,0,true,false,0,0,0,0,0,false,false
2039,TR_I_429_MDW,Inter-Track,0,0,15878,0,true,false,0,0,0,0,0,false,false
2040,TR_I_425_MDW,Inter-Track,0,0,26127,0,true,false,0,0,0,0,0,false,false
2041,TR_6C_MDW_MDW,Mainline,573422,88,608312,0,true,false,0,0,0,0,26,false,false
2042,TR_I_451_MDW,Inter-Track,0,0,13969,0,true,false,0,0,0,0,0,false,false
2043,TR_I_453_MDW,Inter-Track,0,0,13664,0,true,false,0,0,0,0,0,false,false
2044,TR_I_441_MDW,Inter-Track,0,0,5398,0,true,false,0,0,0,0,0,false,false
2045,TR_I_443_MDW,Inter-Track,0,0,5403,0,true,false,0,0,0,0,0,false,false
2046,TR_I_449_MDW,Inter-Track,0,0,13219,0,true,false,0,0,0,0,0,false,false
2047,TR_I_447_MDW,Inter-Track,0,0,22071,0,true,false,0,0,0,0,0,false,false
2048,TR_5D_MDW_DMZ,Mainline,27523,5,274118,-5,true,false,0,0,0,0,10,false,false
2049,TR_6D_MDW_DMZ,Mainline,26613,38,273031,-5,true,false,0,0,0,0,6,false,false
2050,TR_5C_MDW_MDW,Mainline,574124,0,609222,4,true,false,0,0,0,0,28,false,false
2051,TR_5B_MDW_MDW,Mainline,573202,177,592235,0,true,false,0,0,0,0,32,false,false
2052,TR_I_611_SVT,Inter-Track,0,0,16537,0,true,false,0,0,0,0,0,false,false
2053,TR_I_613_SVT,Inter-Track,0,0,17484,0,true,false,0,0,0,0,0,false,false
2054,TR_I_633_BLW,Inter-Track,0,0,9915,0,true,false,0,0,0,0,0,false,false
2055,TR_S_627_EOT_BLW,Siding,913871,0,941681,0,true,false,0,0,0,0,26,false,false
2056,TR_I_639_BLW,Inter-Track,0,0,12519,0,true,false,0,0,0,0,0,false,false
2057,TR_I_641_BLW,Inter-Track,0,0,12691,0,true,false,0,0,0,0,0,false,false
2058,TR_I_659_GN,Inter-Track,0,0,5581,0,true,false,0,0,0,0,0,false,false
2059,TR_I_661_GN,Inter-Track,0,0,15727,0,true,false,0,0,0,0,0,false,false
2060,TR_I_665_GN,Inter-Track,0,0,5037,0,true,false,0,0,0,0,0,false,false
2061,TR_I_667_GN,Inter-Track,0,0,5044,0,true,false,0,0,0,0,0,false,false
2062,TR_S_673_EOT_GN,Siding,1252432,0,1275502,0,true,false,0,0,0,0,14,false,false
2063,TR_S_671_EOT_GN,Siding,1253849,0,1276913,0,true,false,0,0,0,0,38,false,false
2064,TR_I_511_DMZ,Inter-Track,0,0,5400,0,true,false,0,0,0,0,0,false,false
2065,TR_I_513_DMZ,Inter-Track,0,0,5396,0,true,false,0,0,0,0,0,false,false
2066,TR_S_517_EOS_DMZ,Siding,265031,0,310511,2171,true,false,0,0,0,0,4,false,false
2067,TR_S_519_EOS_DMZ,Siding,265188,0,316008,-126,true,false,0,0,0,0,2,false,false
2068,TR_S_531_EOT_DMZ,Siding,287515,0,328864,247,true,false,0,0,0,0,3,false,false
2069,TR_5E_DMZ_GPP,Mainline,723118,-5,1048335,1,true,false,0,0,0,0,10,false,false
2070,TR_6E_DMZ_GPP,Mainline,722031,-6,1049495,-39,true,false,0,0,0,0,6,false,false
2071,TR_I_547_DMZ,Inter-Track,0,0,5582,0,true,false,0,0,0,0,0,false,false
2072,TR_I_549_DMZ,Inter-Track,0,0,5579,0,true,false,0,0,0,0,0,false,false
2073,TR_I_567_GPP,Inter-Track,0,0,5392,0,true,false,0,0,0,0,0,false,false
2074,TR_I_569_GPP,Inter-Track,0,0,13122,0,true,false,0,0,0,0,0,false,false
2075,TR_I_575_GPP,Inter-Track,0,0,3498,0,true,false,0,0,0,0,0,false,false
2076,TR_I_573_GPP,Inter-Track,0,0,3495,0,true,false,0,0,0,0,0,false,false
2077,TR_S_579_EOT_GPP,Siding,1028304,0,1048414,0,true,false,0,0,0,0,12,false,false
2078,TR_S_583_EOT_GPP,Siding,1030046,0,1048363,-42,true,false,0,0,0,0,8,false,false
2079,TR_S_581_EOT_GPP,Siding,1029441,0,1049251,-110,true,false,0,0,0,0,4,false,false
2080,TR_S_585_EOT_GPP,Siding,1030680,0,1049289,-154,true,false,0,0,0,0,2,false,false
2081,TR_3A_SLW_ZD,Mainline,445179,0,1021381,-11,true,false,0,0,0,0,29,false,false
2082,TR_4A_SLW_ZD,Mainline,445083,0,1025969,-23,true,false,0,0,0,0,24,false,false
2083,TR_6A_MDW_OAS,Mainline,574088,1761,679326,0,true,false,0,0,0,0,18,false,false
2084,TR_5A_MDW_OAS,Mainline,573602,1491,642613,0,true,false,0,0,0,0,32,false,false
2085,TR_I_1833_ZD,Inter-Track,0,0,12897,0,true,false,0,0,0,0,0,false,false
2086,TR_S_1831A_ZD,Siding,854727,0,903200,501,true,false,0,0,0,0,56,false,false
2088,TR_I_1797_ZD,Inter-Track,0,0,5451,0,true,false,0,0,0,0,0,false,false
2089,TR_I_1913_ZD,Inter-Track,0,0,3312,0,true,false,0,0,0,0,0,false,false
2091,TR_S_1799_EOT_ZD,Siding,916216,0,977242,0,true,false,0,0,0,0,50,false,false
2093,TR_I_1905_ZD,Inter-Track,0,0,3850,0,true,false,0,0,0,0,0,false,false
2094,TR_I_1903_ZD,Inter-Track,0,0,2439,0,true,false,0,0,0,0,0,false,false
2095,TR_I_1917_ZD,Inter-Track,0,0,3859,0,true,false,0,0,0,0,0,false,false
2096,TR_I_1919_ZD,Inter-Track,0,0,3863,0,true,false,0,0,0,0,0,false,false
2097,TR_I_1901_ZD,Inter-Track,0,0,3307,0,true,false,0,0,0,0,0,false,false
2098,TR_I_1907_ZD,Inter-Track,0,0,3312,0,true,false,0,0,0,0,0,false,false
2099,TR_I_1807_ZD,Inter-Track,0,0,5406,0,true,false,0,0,0,0,0,false,false
2100,TR_I_1803_ZD,Inter-Track,0,0,9331,0,true,false,0,0,0,0,0,false,false
2101,TR_11_ZD_ZD,Mainline,930364,0,969380,120,true,false,0,0,0,0,32,false,false
2102,TR_12_ZD_ZD,Mainline,876604,0,969000,-247,true,false,0,0,0,0,32,false,false
2103,TR_I_1857_OAS,Inter-Track,0,0,5575,0,true,false,0,0,0,0,0,false,false
2104,TR_I_1859_OAS,Inter-Track,0,0,5579,0,true,false,0,0,0,0,0,false,false
2105,TR_S_109A_DMZ,Siding,272671,0,275671,0,true,false,0,0,0,0,0,false,false
