ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value,SSP_Characteristics_ID,Train_Formation_Characteristics_ID_List,Accuracy_Required,Direction,Secondary_stopping_type,D_Min_Secondary_Piloting,D_Max_Secondary_Piloting
2286,SSP_GZH_1_U,TR_5E_DMZ_GPP,859777,-11,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2287,SSP_GZH_2_D_1,TR_6E_DMZ_GPP,857797,20,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2288,SSP_GZH_2_D_2,TR_6E_DMZ_GPP,854700,2,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2289,SSP_GZH_2_D_3,TR_6E_DMZ_GPP,851604,19,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2290,SSP_GZH_2_D_4,TR_6E_DMZ_GPP,848507,-17,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2291,SSP_GZH_2_U,TR_6E_DMZ_GPP,860894,-3,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2292,SSP_KEN_5_U_1,TR_5E_DMZ_GPP,944553,-11,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2293,SSP_KEN_5_U_2,TR_5E_DMZ_GPP,946101,-20,SSPC_ALL,TRFC_S1S2_2;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2294,SSP_KEN_5_U_3,TR_5E_DMZ_GPP,947649,-16,SSPC_ALL,TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2295,SSP_KEN_5_U_4,TR_5E_DMZ_GPP,949198,-23,SSPC_ALL,TRFC_S1S2_4;TRFC_S3M4_4;TRFC_M5M6,Strategy_1,Up,false,0,0
